site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Beauty,10007356,Dr. 情趣,【Dr. 情趣】聖克萊爾St.Clare 私密呼呼溫和潔淨慕斯1入(150ml),Dr.情趣,4194416,90,1.3 品牌欄完全相符,2026-09-21 14:58:28,Dr. 情趣,品牌欄,dr情趣,dr,情趣,4194416,dr,情趣,Everything Else,,2,False
momo,Beauty,10036438,LAB 美國雅男士,【LAB 美國雅男士】多功能潔面乳 200ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038861,LAB 美國雅男士,【LAB 美國雅男士】多功能保濕乳液 50ml(新包裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038862,LAB 美國雅男士,【LAB 美國雅男士】活顏修護極究精華 50ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038863,LAB 美國雅男士,【LAB 美國雅男士】多功能保濕乳液 100ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038868,LAB 美國雅男士,【LAB 美國雅男士】活顏修護保濕潔面乳 100ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038869,LAB 美國雅男士,【LAB 美國雅男士】活顏修護保濕調理露 200ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038874,LAB 美國雅男士,【LAB 美國雅男士】鈦金能量緊緻調理露 200ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038876,LAB 美國雅男士,【LAB 美國雅男士】鈦金能量緊緻精華 27ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
momo,Beauty,10038877,LAB 美國雅男士,【LAB 美國雅男士】鈦金能量緊緻乳液 45ml(新裝 專櫃公司貨),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:58:28,LAB 美國雅男士,品牌欄,lab美國雅男士,lab,美國雅男士,-1,,,,,3,False
