來源品牌,類別,品號數,現有品牌,提案品牌,提案ID,提案信心,狀態
A-mi 阿咪,Pets,1,ami,ami,1098253,74,候選保留待確認
ACE 英士牌,Home & Living,8,ACE,ACE,1120063,74,候選保留待確認
AMD 超微,Hardware & 3C,64,AMD,AMD,1146249,74,候選保留待確認
AOK 飛速,Home & Living,2,AOK,AOK 飛速,1087936,74,候選保留待確認
AOK 飛速,Men's Apparel,2,AOK,AOK 飛速,1087936,74,候選保留待確認
AOK 飛速,Women's Apparel,2,AOK,AOK 飛速,1087936,74,候選保留待確認
AP 磁王,Health,2,AP,AP磁王,5004508,74,候選保留待確認
API 魚博士,Pets,5,API,API,1088305,74,候選保留待確認
B.P 愛美力,Pets,2,bp,bp,1097853,74,候選保留待確認
BAC 倍爾康,Health,9,bac,BAC 倍爾康,1214667,74,候選保留待確認
BNN 斌瀛,Motors,4,BNN,BNN,1214754,74,候選保留待確認
BNN 斌瀛,Sports & Outdoors,4,BNN,BNN,1214754,74,候選保留待確認
BS 荷蘭,Home & Living,3,BS,BS,6353151,74,候選保留待確認
BS 荷蘭,Life & Entertainment,6,BS,BS,6353151,74,候選保留待確認
BS 荷蘭,Mother & Baby,17,BS,BS,6353151,74,候選保留待確認
BS 荷蘭,Sports & Outdoors,1,BS,BS,6353151,74,候選保留待確認
BSN 畢斯恩,Food & Beverages,4,BSN,BSN,1142696,74,候選保留待確認
BSN 畢斯恩,Sports & Outdoors,15,BSN,BSN,1142696,74,候選保留待確認
BWT 德國倍世,Home & Living,10,BWT,BWT,1127990,74,候選保留待確認
BWT 德國倍世,Home Electronic,3,BWT,BWT,1127990,74,候選保留待確認
CMS 宇祥,Health,3,CM'S,CM'S,1110649,74,候選保留待確認
CS 嚴選,Beauty,3,C&S,C&S,2838752,74,候選保留待確認
CS 嚴選,Men's Bags& Accessories,43,C&S,C&S,2838752,74,候選保留待確認
CS 嚴選,Sports & Outdoors,2,C&S,C&S,2838752,74,候選保留待確認
CS 嚴選,Women Bags,36,C&S,C&S,2838752,74,候選保留待確認
CS 昌碩,Hardware & 3C,6,C&S,C&S,2838752,74,候選保留待確認
CS昌碩,Hardware & 3C,2,C&S,C&S,2838752,74,候選保留待確認
CY 呈云,Home Electronic,1,CY,CY,4996215,74,候選保留待確認
Cam 買一送一,Home & Living,1,cam,cam,1133309,74,候選保留待確認
DMC 欣蘭,Beauty,2,D.M.C,D.M.C,2983128,65,候選保留待確認
DRX 達特世,Health,22,DRX,DRX 達特世,1272795,74,候選保留待確認
DRX 達特世,Home & Living,8,DRX,DRX 達特世,1272795,74,候選保留待確認
DUO 麗優,Beauty,5,DUO,DUO,1087798,74,候選保留待確認
EQB 韓國,Life & Entertainment,1,EQB,EQB,1084585,74,候選保留待確認
ESR 億色,Mobile & Gadgets,159,ESR,ESR,1801111,74,候選保留待確認
GB 綠鐘,Beauty,196,gb,GREEN BELL,1124530,98,有來源支持的定向修正
GB 綠鐘,Home & Living,20,gb,GREEN BELL,1124530,90,有來源支持的定向修正
GB 綠鐘,Mother & Baby,4,gb,GREEN BELL,1124530,90,有來源支持的定向修正
GB 綠鐘,Pets,2,gb,GREEN BELL,1124530,90,有來源支持的定向修正
GE 奇異,Home Electronic,4,GE,GE,1801249,74,候選保留待確認
GHR 健康主義,Pets,5,GHR,GHR,1083601,74,候選保留待確認
GNC 健安喜,Food & Beverages,1,GNC,GNC,3495165,74,候選保留待確認
GNC 健安喜,Health,59,GNC,GNC,3495165,74,候選保留待確認
GNC 健安喜,Mother & Baby,1,GNC,GNC,3495165,74,候選保留待確認
GNC 健安喜,Sports & Outdoors,7,GNC,GNC,3495165,74,候選保留待確認
GP 超霸,Mobile & Gadgets,65,G.P,GP Batteries,1146524,90,有來源支持的定向修正
H&R 安室家,Hardware & 3C,2,H&R,H&R 安室家,1111072,90,有來源支持的定向修正
H&R 安室家,Home & Living,1,H&R,H&R 安室家,1111072,98,有來源支持的定向修正
H-T-T 新幹線,Home Electronic,1,H.T.T,H.T.T,1215937,74,候選保留待確認
HG 禾淨家用,Home Electronic,17,HG,HG,5295929,74,候選保留待確認
HH 草本新淨界,Beauty,32,H&H,Herb & Health,1111148,98,有來源支持的定向修正
HH 草本新淨界,Health,5,H&H,Herb & Health,1111148,90,有來源支持的定向修正
HH 草本新淨界,Home & Living,5,H&H,Herb & Health,1111148,90,有來源支持的定向修正
HH 草本新淨界,Mother & Baby,27,H&H,Herb & Health,1111148,90,有來源支持的定向修正
HTC 宏達電,Hardware & 3C,6,HTC,HTC,1147210,74,候選保留待確認
HTC 宏達電,Mobile & Gadgets,27,HTC,HTC,1147210,74,候選保留待確認
HTT 新幹線,Home & Living,2,H.T.T,H.T.T,1215937,74,候選保留待確認
HTT 新幹線,Home Electronic,2,H.T.T,H.T.T,1215937,74,候選保留待確認
ITO 日本伊藤,Home & Living,1,ITO,ITO,1216067,74,候選保留待確認
Ido 船井醫朵,Beauty,18,Ido 醫朵,Ido 醫朵,1122486,74,候選保留待確認
Ito 日本伊藤,Food & Beverages,1,ITO,ITO,1216067,74,候選保留待確認
JS 嚴選,Women's Apparel,1,JS,JS嚴選,1085785,74,候選保留待確認
JS 婕洛妮絲,Beauty,90,JS,jealousness,3472328,98,有來源支持的定向修正
JS 淇譽,Hardware & 3C,1,JS 淇譽電子,JS 淇譽電子,1085742,74,候選保留待確認
JS 淇譽,Home Electronic,1,JS 淇譽電子,JS 淇譽電子,1085742,74,候選保留待確認
JS 淇譽,Mobile & Gadgets,1,JS 淇譽電子,JS 淇譽電子,1085742,74,候選保留待確認
JS 珠驤,Health,5,JS,JS,5712923,59,候選保留待確認
JUN 郡昱,Health,7,jun,jun,3510279,74,候選保留待確認
JUN 郡昱,Home & Living,39,jun,jun,3510279,74,候選保留待確認
KIN 卡碧絲,Beauty,1,KIN,KIN,1132039,74,候選保留待確認
KUM 庫姆,Home & Living,5,KUM,KUM,1094859,74,候選保留待確認
KUM 熊野,Beauty,77,KUM,Kumano 熊野油脂,1136616,98,有來源支持的定向修正
KYK 古河,Motors,42,KYK,KYK,1095269,74,候選保留待確認
K’s 凱恩絲,Women's Apparel,1,K&S,k's 凱恩絲,1112574,74,候選保留待確認
LAC 利維喜,Health,162,LAC,LAC,1288127,74,候選保留待確認
LAC 利維喜,Mother & Baby,11,LAC,LAC,1288127,74,候選保留待確認
LAC 利維喜,Sports & Outdoors,1,LAC,LAC,1288127,74,候選保留待確認
LG 樂金,Hardware & 3C,20,LG,LG,1695281,74,候選保留待確認
LG 樂金,Home Electronic,31,LG,LG,1695281,74,候選保留待確認
LG 樂金,Mobile & Gadgets,1,LG,LG,1695281,74,候選保留待確認
LUX 麗仕,Beauty,44,LUX,LUX,2562960,74,候選保留待確認
LUX 麗仕,Home & Living,1,LUX,LUX,2562960,74,候選保留待確認
MSI 微星,Game Kingdom,6,MSI,MSI,2563405,74,候選保留待確認
MSI 微星,Hardware & 3C,435,MSI,MSI,2563405,74,候選保留待確認
MSI 微星,Mobile & Gadgets,60,MSI,MSI,2563405,74,候選保留待確認
MUK 潮嘜,Beauty,14,muk.,muk.,1112610,74,候選保留待確認
NEO 天淨,Pets,1,neo,neo,1096846,74,候選保留待確認
NHV 藥草獸醫,Pets,4,NHV,NHV,1303949,74,候選保留待確認
NOW 健而婷,Health,7,NOW,NOW,2387626,74,候選保留待確認
NOW 健而婷,Home & Living,1,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Beauty,14,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Health,21,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Home & Living,215,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Men's Bags& Accessories,2,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Pets,2,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Sports & Outdoors,4,NOW,NOW,2387626,74,候選保留待確認
NOW 娜奧,Women Bags,6,NOW,NOW,2387626,74,候選保留待確認
O.W.N. 對環境友善的蠟燭,Home & Living,2,OWN,OWN,5122981,74,候選保留待確認
OMO 歐姆貓,Pets,2,OMO,OMO,3203129,74,候選保留待確認
ONE 生活,Home & Living,5,ONE,ONE 生活,1131589,74,候選保留待確認
OTO 歐迪奧,Home & Living,9,OTO,OTO,1802171,74,候選保留待確認
PQI 勁永,Home Electronic,1,pqi,pqi,1107508,74,候選保留待確認
PQI 勁永,Mobile & Gadgets,40,pqi,pqi,1107508,74,候選保留待確認
PQI 勁永,Motors,1,pqi,pqi,1107508,74,候選保留待確認
Qbi 塊樂方程式,Life & Entertainment,2,Qbi,Qbi,1380260,74,候選保留待確認
Qbi 塊樂方程式,Mother & Baby,3,Qbi,Qbi,1380260,74,候選保留待確認
R.J.T 結晶蜂蜜,Food & Beverages,1,R.J.T,R.J.T,1111908,74,候選保留待確認
RCM 美國專業甲油膠,Beauty,1,RCM,RCM,1099497,74,候選保留待確認
RH 紳士品格,Men's Apparel,3,RH,RH,1101075,74,候選保留待確認
RYO 呂,Beauty,21,Ryo,Ryo,1802408,74,候選保留待確認
Ran 冉,Beauty,3,Ran,Ran,1594021,74,候選保留待確認
Ran 冉,Home & Living,4,Ran,Ran,1594021,74,候選保留待確認
SFE 順風耳,Home Electronic,2,SFE,SFE,1102559,74,候選保留待確認
SKB 文明,Home & Living,23,SKB,SKB,1135929,74,候選保留待確認
SY 聲億科技,Home & Living,1,SY 聲億,SY 聲億,1107828,74,候選保留待確認
SY 聲億科技,Home Electronic,1,SY 聲億,SY 聲億,1107828,74,候選保留待確認
T.N.A. 悠遊,Pets,26,T.N.A.,T.N.A.,1114615,74,候選保留待確認
TAS 極限運動,Sports & Outdoors,4,TAS,TAS,1100263,74,候選保留待確認
TOi 圖益,Life & Entertainment,10,TOI,TOI,1802711,74,候選保留待確認
TOi 圖益,Mother & Baby,1,TOI,TOI,1802711,74,候選保留待確認
TPT 友善萃取,Home & Living,5,TPT,TPT,1218239,74,候選保留待確認
TS 東勝,Food & Beverages,12,TS,TS,1829976,74,候選保留待確認
TS 東勝,Home & Living,1,TS,TS,1829976,74,候選保留待確認
TS6 護一生,Beauty,61,TS6,TS6,1136012,74,候選保留待確認
TS6 護一生,Everything Else,1,TS6,TS6,1136012,74,候選保留待確認
TS6 護一生,Health,13,TS6,TS6,1136012,74,候選保留待確認
TS6 護一生,Home & Living,4,TS6,TS6,1136012,74,候選保留待確認
TS6 護一生,Mother & Baby,17,TS6,TS6,1136012,74,候選保留待確認
W.I.P 台灣聯合,Home & Living,8,W.I.P,W.I.P,1334993,74,候選保留待確認
W.I.P台灣聯合文具,Home & Living,1,W.I.P,W.I.P,1334993,74,候選保留待確認
WD 威騰,Hardware & 3C,178,WD,WD,3894375,74,候選保留待確認
Y-3 山本耀司,Women Accessories,1,Y-3,Y-3,1802937,74,候選保留待確認
YG 天鵝內衣,Men's Apparel,29,YG,YG,1102428,74,候選保留待確認
YU 東方森草,Pets,11,yu',yu',1114633,74,候選保留待確認
ban 盼,Beauty,3,ban,ban,1131931,74,候選保留待確認
de 第一化妝品,Beauty,4,de,de,5656356,74,候選保留待確認
iD 怡大,Mother & Baby,1,id,id,3020919,74,候選保留待確認
nip 德國,Mother & Baby,2,nip,nip,1097167,74,候選保留待確認
spa 斐孟,Beauty,7,SPA,SPA,3876234,74,候選保留待確認
spa 斐孟,Home & Living,20,SPA,SPA,3876234,74,候選保留待確認
惠氏 S-26,Food & Beverages,17,S-26,S-26,3157392,74,候選保留待確認
惠氏 S-26,Mother & Baby,19,S-26,S-26,3157392,74,候選保留待確認
斌瀛BNN,Sports & Outdoors,1,BNN,BNN,1214754,74,候選保留待確認
斐孟spa,Beauty,1,SPA,SPA,3876234,74,候選保留待確認
斐孟spa,Home & Living,1,SPA,SPA,3876234,74,候選保留待確認
東京 Ito,Beauty,6,ITO,ITO,1216067,74,候選保留待確認
東京 Ito,Hardware & 3C,1,ITO,ITO,1216067,74,候選保留待確認
東京 Ito,Health,2,ITO,ITO,1216067,74,候選保留待確認
