source_norm,matched_id_num,source_name,source_field,latin,chinese,latin_length,matched_name,pool_category,pool_chinese,alias_source,goods,categories,title,confidence_min,confidence_max
msi微星,2563405,MSI 微星,品牌欄,msi,微星,3,MSI,Hardware & 3C,,auto,501,Game Kingdom|Hardware & 3C|Mobile & Gadgets,【MSI 微星】福利品 Force GC30 V2 無線遊戲手把,85,93
now娜奧,2387626,NOW 娜奧,品牌欄,now,娜奧,3,NOW,Health,,auto,264,Beauty|Health|Home & Living|Men's Bags& Accessories|Pets|Sports & Outdoors|Women Bags,【NOW 娜奧】純葡萄籽保濕油473ml-Now Foods,85,93
gb綠鐘,4405709,GB 綠鐘,品牌欄,gb,綠鐘,2,gb,Mother & Baby,,auto,222,Beauty|Home & Living|Mother & Baby|Pets,【GB 綠鐘】GREEN BELL日本綠鐘隨身型指甲銼刀(PSG-005),85,93
wd威騰,3894375,WD 威騰,品牌欄,wd,威騰,2,WD,Hardware & 3C,,auto,178,Hardware & 3C,【WD 威騰】金標 16TB 3.5吋 7200轉 512MB 企業級 內接硬碟(WD161KRYZ),98,98
lac利維喜,1288127,LAC 利維喜,品牌欄,lac,利維喜,3,LAC,Health,,auto,174,Health|Mother & Baby|Sports & Outdoors,【LAC 利維喜】活性納豆紅麴Q10膠囊x3盒組(共180顆/納麴/降膽固醇/調節血脂/大紅麴),90,98
esr億色,1801111,ESR 億色,品牌欄,esr,億色,3,ESR,Mobile & Gadgets,,auto,159,Mobile & Gadgets,【ESR 億色】iPad mini 6/mini 7 雅置系列平板保護套,98,98
東京ito,1216067,東京 Ito,標題【】,ito,東京,3,ITO,Beauty,,,99,Beauty|Hardware & 3C|Health|Home & Living|Home Electronic|Mother & Baby|Pets|Shoes|Sports & Outdoors|Women Accessories|Women's Apparel,【東京 Ito】雙面磨腳美足搓腳板(去死皮 老繭 修腳 腳底 刮腳 後跟 腳皮挫 去角質 磨砂),85,93
ts6護一生,1136012,TS6 護一生,品牌欄,ts6,護一生,3,TS6,Beauty,,auto,96,Beauty|Everything Else|Health|Home & Living|Mother & Baby,【TS6 護一生】潔淨慕斯180g(私密清潔 私密保養),90,98
js婕洛妮絲,5712923,JS 婕洛妮絲,品牌欄,js,婕洛妮絲,2,JS,Home & Living,,,90,Beauty,【JS 婕洛妮絲】3%傳明酸美白精華30ml（美白透亮）,79,79
cs嚴選,2838752,CS 嚴選,品牌欄,cs,嚴選,2,C&S,Home & Living,,,84,Beauty|Men's Bags& Accessories|Sports & Outdoors|Women Bags,【CS 嚴選】頂級黑壇木傳統工藝無靜電厚實黑壇木梳子 髮梳 按摩梳 齒梳 月梳(男女適用 手柄梳+月梳各一個),84,84
kum熊野,1094859,KUM 熊野,品牌欄,kum,熊野,3,KUM,Home & Living,,auto,77,Beauty,【KUM 熊野】沙龍級洗髮精1000ml(多款任選),90,90
hh草本新淨界,1120001,HH 草本新淨界,品牌欄,hh,草本新淨界,2,H&H,Home & Living,,auto,69,Beauty|Health|Home & Living|Mother & Baby,【HH 草本新淨界】HH 女性私密濕式衛生紙 抗菌配方 10抽x5包(女性濕式衛生紙 私密潔淨 溫和不刺激),85,93
gnc健安喜,3495165,GNC 健安喜,品牌欄,gnc,健安喜,3,GNC,Health,,auto,68,Food & Beverages|Health|Mother & Baby|Sports & Outdoors,即期品【GNC 健安喜】歡樂熊綜合軟糖 120顆/瓶(什錦水果口味),90,98
gp超霸,1119972,GP 超霸,品牌欄,gp,超霸,2,G.P,Shoes,,,65,Mobile & Gadgets,【GP 超霸】超特強鹼性電池4號Ultra Plus 卡裝 4入(GP原廠販售),79,79
amd超微,1146249,AMD 超微,品牌欄,amd,超微,3,AMD,Hardware & 3C,,auto,64,Hardware & 3C,【AMD 超微】Ryzen R5-8500G 六核心 CPU處理器(3.5GHz),98,98
lg樂金,1695281,LG 樂金,品牌欄|標題【】,lg,樂金,2,LG,Home Electronic,,auto,52,Hardware & 3C|Home Electronic|Mobile & Gadgets,【LG 樂金】Gram 16吋 Ultra 5 輕薄AI筆電 (16Z90TL-G.AP55C2/16G/512GB NVMe/WIN11PRO),85,98
jun郡昱,3510279,JUN 郡昱,品牌欄,jun,郡昱,3,jun,Home & Living,,auto,46,Health|Home & Living,【JUN 郡昱】成人滿版平面醫療口罩50入/盒-百搭色系(台灣製造 三層防護 滿版口罩),90,98
lux麗仕,2562960,LUX 麗仕,品牌欄,lux,麗仕,3,LUX,Beauty,,auto,45,Beauty|Home & Living,【LUX 麗仕】精油香氛沐浴乳900/1000mlx5入(多款任選),85,93
pqi勁永,1107508,PQI 勁永,品牌欄,pqi,勁永,3,pqi,Mobile & Gadgets,,auto,42,Home Electronic|Mobile & Gadgets|Motors,【PQI 勁永】HF01 三段式帶線手持風扇,90,98
kyk古河,1095269,KYK 古河,品牌欄,kyk,古河,3,KYK,Motors,,auto,42,Motors,【KYK 古河】22-022 玻璃除菌油膜清潔劑E+,98,98
惠氏s26,3157392,惠氏 S-26,品牌欄,s26,惠氏,3,S-26,Mother & Baby,,auto,36,Food & Beverages|Mother & Baby,【惠氏 S-26】官方直營 金學兒樂S-HMO配方3-7歲（1600gx6罐）(免運/水沖即享/溫暖營養/88),90,98
htc宏達電,1147210,HTC 宏達電,品牌欄,htc,宏達電,3,HTC,Mobile & Gadgets,,auto,33,Hardware & 3C|Mobile & Gadgets,【HTC 宏達電】原廠 USonic MAX-320 入耳式耳機 Type-C - 灰(密封袋裝),85,93
