site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Beauty,10038994,JS 婕洛妮絲,【JS 婕洛妮絲】3%傳明酸美白精華30ml（美白透亮）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10109148,DMC 欣蘭,【DoMeCare】清潔凍膜 500g(欣蘭),D.M.C,2983128,65,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,DMC 欣蘭,品牌欄,dmc欣蘭,dmc,欣蘭,2983128,dmc,,Life & Entertainment,,3,True
momo,Beauty,10113292,DMC 欣蘭,【DMC 欣蘭】清潔凍膜 225g(欣蘭),D.M.C,2983128,65,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,DMC 欣蘭,品牌欄,dmc欣蘭,dmc,欣蘭,2983128,dmc,,Life & Entertainment,,3,True
momo,Beauty,10157867,JS 婕洛妮絲,【JS 婕洛妮絲】液態三重酸煥膚精華5ml（煥膚亮白）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10168860,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘隨身型指甲銼刀(PSG-005),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10168862,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘鍛造不鏽鋼指甲息皮修剪鉗(PSG-009),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10168863,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼腳卷甲縫除垢專用棒(PSG-020),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10168864,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼腳指甲縫清垢專用棒(PSG-021),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181636,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼腳指甲緣專用搓磨棒(PSG-022),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181638,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘防水砂足部專用搓磨棒(PSG-024),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181639,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘防水砂足部專用搓磨棒(PSG-025),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181640,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼刃足部息皮刮除刀_附贈德國製刀片(PSG-026),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181641,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼足部息皮刮除替換刀片-10片入_PSG-026指定替換刀片專用(PSG-027),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10181642,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘鍍金指甲緣專用去息皮指甲刀(PSG-028),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10204042,CS 嚴選,【CS 嚴選】頂級黑壇木傳統工藝無靜電厚實黑壇木梳子 髮梳 按摩梳 齒梳 月梳(男女適用 手柄梳+月梳各一個),C&S,2838752,84,1.3 品牌欄完全相符,2026-09-21 14:58:28,CS 嚴選,品牌欄,cs嚴選,cs,嚴選,2838752,cs,,Home & Living,,2,True
momo,Beauty,10208236,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼17.5R特級眼睫毛夾(PSG-030),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10222242,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼旋轉式&竹製耳拔二支組(PSG-029),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10269152,spa 斐孟,【斐孟spa】摩洛哥油 100ml.(100%精純、抗老化肌膚、修護柔嫩),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10280115,spa 斐孟,【斐孟spa】滋潤修護純植物按摩油100ml.(六星級spa獨家配方、肌膚柔嫩之最),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10282171,spa 斐孟,【斐孟spa】純植物按摩油-嫩白保濕 100ml.(保濕滋養、滋養肌膚、全身可使用),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
