brand_id,brand_name,level1_category,adg,ado,adq
0,NoBrand,Home & Living,"540,212,257","927,392","22,873,816"
1189223,Apple,Mobile & Gadgets,"36,232,902","2,318","4,486"
1695294,Samsung,Mobile & Gadgets,"7,181,652",881,"1,319"
1146819,Nintendo,Game Kingdom,"6,420,132","1,921","5,452"
1147183,Xiaomi,Mobile & Gadgets,"6,138,919","3,224","5,001"
1695290,Panasonic,Home Electronic,"5,328,645","2,570","12,194"
1146277,ASUS,Hardware & 3C,"4,501,272",673,"1,032"
1695281,LG,Home Electronic,"3,566,645",351,"1,663"
2563603,NIKE,Sports & Outdoors,"3,466,559","2,041","3,217"
1146967,Royal Canin,Pets,"3,294,584","2,048","8,438"
1146209,3M,Home & Living,"3,025,908","4,607","63,880"
1800379,Adidas,Sports & Outdoors,"2,658,283","1,551","2,171"
1695297,Sony,Hardware & 3C,"2,448,228",495,701
1146897,Philips,Home Electronic,"2,405,175","1,766","7,558"
1801048,Dyson,Home Electronic,"2,362,800",281,366
1802060,New Balance,Sports & Outdoors,"2,362,074","1,058","1,444"
1802277,POP MART,Life & Entertainment,"2,310,477","1,424","4,911"
1104633,MyCard,Game Kingdom,"2,158,414",777,"1,154"
4789993,Shiny 炫麗,Women Accessories,"2,045,101",65,76
1801225,Fujifilm,Hardware & 3C,"2,040,461",734,"1,492"
2563405,MSI,Hardware & 3C,"1,855,148",183,222
1801724,Lego,Life & Entertainment,"1,775,887",972,"6,411"
1800855,Coach,Women Bags,"1,725,978",600,"873,788"
1146727,MamyPoko,Mother & Baby,"1,577,727","1,483","2,947"
1801466,Insta360,Hardware & 3C,"1,449,427",332,592
3362390,TAKARATOMY,Life & Entertainment,"1,403,606","1,446","2,637"
1147118,TP-Link,Hardware & 3C,"1,402,092",675,964
5806653,CW手機配件,Mobile & Gadgets,"1,380,355","4,018","11,724"
1695327,DJI,Hardware & 3C,"1,371,178",210,397
2240095,Logitech,Hardware & 3C,"1,365,325",894,"1,127"
1114564,Hill's 希爾思,Pets,"1,328,110",762,"2,069"
1801387,Hitachi,Home Electronic,"1,286,646",264,361
1800357,Abbott,Health,"1,262,465",545,"1,071"
1146931,Quaker,Health,"1,156,956","1,176","3,526"
1081797,DAIKEN BIOMEDICAL 大研生醫,Health,"1,139,800",538,915
2559617,Bandai Namco,Life & Entertainment,"1,137,173","1,233","2,753"
1802269,Pokemon,Life & Entertainment,"1,120,285","1,153","8,232"
1110710,D&M 淨新科技,Home & Living,"1,102,463","3,578","43,813"
2240081,La Roche Posay,Beauty,"1,090,722",995,"2,083"
1109973,饗食天堂,Tickets & Services,"1,071,501",180,336
1381465,POCO,Mobile & Gadgets,"1,061,026",97,115
1695289,OPPO,Mobile & Gadgets,"1,058,554",233,336
1802262,Playstation,Game Kingdom,"1,031,984",353,924
1146987,Sanrio,Mother & Baby,"1,028,726","2,262","5,434"
1082382,GASH 樂點,Game Kingdom,"1,016,183",237,541
1107843,SYM 三陽,Motors,"1,014,568",699,"1,672"
1146548,Google,Mobile & Gadgets,"998,490",136,"5,996"
1110164,BHK's,Health,"997,617",762,"1,294"
1146534,Gigabyte,Hardware & 3C,"969,345",73,84
1131280,TASTy 西堤牛排,Tickets & Services,"967,824",120,194
1217269,POLYWELL,Mobile & Gadgets,"962,662","2,043","4,717"
1801954,Mizuno,Sports & Outdoors,"958,769",638,951
1146869,Pampers,Mother & Baby,"955,004",799,"1,355"
1217690,SAMPO 聲寶,Home Electronic,"942,930",554,742
1113767,DOG CAT STAR 汪喵星球,Pets,"935,058","1,152","8,633"
4994588,配方時代,Health,"934,781",396,558
1695303,Vivo,Mobile & Gadgets,"927,157",125,170
1130102,P&G 寶僑,Home & Living,"914,883","2,039","5,673"
1802940,Yamaha,Motors,"900,922",918,"2,648"
1146440,Disney,Life & Entertainment,"847,729","1,202","159,232"
1800761,Canon,Hardware & 3C,"845,956",200,322
1695265,Acer,Hardware & 3C,"826,564",187,226
1129845,Carrefour 家樂福,Tickets & Services,"823,998",100,343
1084661,HERAN 禾聯,Home Electronic,"820,475",289,341
1086624,HONG JIN 宏晉,Mobile & Gadgets,"819,729","1,642","3,054"
1801879,Medicube,Beauty,"819,095",331,715
1801080,Electrolux,Home Electronic,"808,255",199,241
4344119,DHC,Health,"800,618","1,563","3,712"
3966306,Milwaukee,Home & Living,"792,731",233,537
99999999,nodata,Home & Living,"789,640","1,375","7,277"
1095314,KYMCO 光陽,Motors,"787,859",725,"1,959"
3379798,小不記,Home & Living,"784,980",669,"1,014"
1146985,Sandisk,Hardware & 3C,"775,287",535,902
1802006,Muji,Home & Living,"726,926","1,210","3,928"
1132265,KINYO,Home Electronic,"726,879",974,"1,320"
1214154,asics 亞瑟士,Sports & Outdoors,"719,076",335,443
1800801,CeraVe,Beauty,"700,024",844,"1,501"
1113648,CIAO,Pets,"696,478","1,088","14,277"
2563723,OBgE,Beauty,"695,962",788,"1,391"
1695348,Garmin,Sports & Outdoors,"692,232",124,185
1146556,Hewlett Packard HP,Hardware & 3C,"692,100",313,476
1802379,Roborock,Home Electronic,"675,999",109,171
1216756,MITSUBISHI 三菱,Home Electronic,"671,718",129,247
1695292,Razer,Hardware & 3C,"669,600",281,322
1095441,MILBON,Beauty,"662,692",588,"1,119"
1800711,Brita,Home Electronic,"662,179",372,606
1105002,RHINOSHIELD 犀牛盾,Mobile & Gadgets,"660,793",779,"1,080"
1801826,Makita,Home & Living,"654,606",250,619
1114320,SEEDS 惜時,Pets,"651,984",924,"18,175"
4605655,BANDAI,Life & Entertainment,"637,632",639,"1,147"
1145553,SAKURA 櫻花,Home Electronic,"632,647",207,382
5185768,THE VEGAN 樂維根,Sports & Outdoors,"630,863",661,"2,810"
1146483,Epson,Hardware & 3C,"615,506",316,"1,729"
1097312,MONACO 魔娜歌,Home & Living,"610,574",535,"1,598"
1140802,Simba 小獅王辛巴,Mother & Baby,"609,375",973,"3,024"
1141998,陶板屋,Tickets & Services,"605,445",76,129
2239912,7-ELEVEN,Tickets & Services,"604,587",355,"3,052"
1147093,The North Face,Sports & Outdoors,"589,338",239,"27,389"
1146689,Lenovo,Hardware & 3C,"587,923",97,142
1146342,Bosch,Home & Living,"572,352",255,902
1103063,Whirlpool 惠而浦,Home Electronic,"568,564",74,81
1146854,Oral-B,Home Electronic,"566,565",703,"1,956"
1271248,iHDoc,Health,"562,968",424,712
1086285,倍潔雅,Home & Living,"559,897","1,240","2,556"
1215798,GoGoNuts 果果堅果,Food & Beverages,"559,763",648,"3,127"
1125225,DR.WU 達爾膚,Beauty,"557,464",426,940
1218115,TATUNG 大同,Home Electronic,"557,164",378,941
1123873,I MEI 義美,Food & Beverages,"556,801","3,090","9,635"
3541511,Xiaomi (小米),Mobile & Gadgets,"552,955",337,480
3886708,iPhone  Apple,Mobile & Gadgets,"551,234",92,206
1108780,SoftBank,Mobile & Gadgets,"547,040",986,"2,562"
1802490,Shiseido,Beauty,"545,308",665,"1,912"
1146696,Lifree,Mother & Baby,"545,198",670,"1,399"
1695295,Sharp,Home Electronic,"543,012",81,98
1802019,MYPROTEIN,Sports & Outdoors,"542,924",366,759
1147048,Starbucks,Home & Living,"542,597",575,"1,442"
3532361,Paula's Choice,Beauty,"534,974",428,612
3727480,SHIMANO,Sports & Outdoors,"534,800",205,304
1219067,kolin 歌林,Home Electronic,"519,144",615,750
1802076,NIIMBOT,Home & Living,"518,023",469,"1,589"
2240153,PUMA,Sports & Outdoors,"515,090",324,431
1099657,Q哥,Mobile & Gadgets,"514,988","1,200","3,775"
2560197,CHANEL,Women Bags,"511,095",164,472
1695271,Casio,Men's Bags& Accessories,"510,124",514,616
1100964,TECO,Home Electronic,"506,203",230,302
1095310,MIHONG,Health,"504,777",485,"1,369"
1140830,meiji 明治,Mother & Baby,"499,193",369,"1,122"
1110739,D.Y. BIO 大醫生技,Health,"491,588",358,621
1146997,Seagate,Hardware & 3C,"487,812",68,99
1802651,TCL,Home Electronic,"486,919",34,38
1801584,Kao,Home & Living,"486,493","1,434","4,365"
1387091,亞汀,Home & Living,"485,748",598,"1,117"
1802993,Zojirushi,Home Electronic,"481,627",314,412
1147215,SANLUX 台灣三洋,Home Electronic,"480,063",145,244
1100141,UNIQMAN,Health,"478,177",359,515
1093584,docomo,Mobile & Gadgets,"477,325",803,"1,405"
1125289,DREAM TREND 凱夢,Beauty,"471,968",673,"1,454"
1216498,LION 獅王,Home & Living,"470,466","1,539","5,033"
1690908,Kleenex,Home & Living,"468,091","1,433","3,747"
1145421,Optimum Nutrition 歐恩,Sports & Outdoors,"463,619",187,309
1141801,盛香珍,Food & Beverages,"462,802","1,909","6,318"
1140195,SUNTORY 三得利,Health,"462,714",242,831
1146228,Adata,Hardware & 3C,"462,540",470,858
1800752,Calvin Klein,Men's Apparel,"460,459",304,476
1695269,Benq,Hardware & 3C,"454,830",71,92
