中文品牌名,brand_id,品牌庫名稱,來源
理膚寶水,2240081,La Roche Posay,claude-知識配對
曼秀雷敦,1801899,Mentholatum,claude-知識配對
伊麗莎白雅頓,1801086,Elizabeth Arden,claude-知識配對
白蘭氏,3232229,BRAND'S,claude-知識配對
台灣角川,1801574,Kadokawa,claude-知識配對
嬌生,1144556,Johnson's 嬌生,claude-知識配對
舒潔,1690908,Kleenex,claude-知識配對
好奇,1146590,Huggies,claude-知識配對
幫寶適,1146869,Pampers,claude-知識配對
多芬,1146447,Dove,claude-知識配對
潘婷,1146873,Pantene,claude-知識配對
海倫仙度絲,1146569,Head & Shoulders,claude-知識配對
麗仕,2562960,LUX,claude-知識配對
妮維雅,1802087,Nivea,claude-知識配對
凡士林,1802809,Vaseline,claude-知識配對
露得清,1802059,Neutrogena,claude-知識配對
蜜妮,1800651,Biore,claude-知識配對
花王,1801584,Kao,claude-知識配對
資生堂,1802490,Shiseido,claude-知識配對
雅詩蘭黛,1801116,Estee Lauder,claude-知識配對
蘭蔻,1801695,Lancome,claude-知識配對
倩碧,1800846,Clinique,claude-知識配對
高露潔,1146401,Colgate,claude-知識配對
李施德霖,1146701,Listerine,claude-知識配對
桂格,1146931,Quaker,claude-知識配對
雀巢,2563581,Nestle,claude-知識配對
家樂氏,2240071,Kellogg's,claude-知識配對
立頓,1146699,Lipton,claude-知識配對
勁量,1695274,Energizer,claude-知識配對
無印良品,1802006,Muji,claude-知識配對
象印,1802993,Zojirushi,claude-知識配對
VT,1802858,VT Cosmetics,claude-抽查/搜尋
SK2,1802509,SK-II,claude-抽查/搜尋
適樂膚,1800801,CeraVe,claude-抽查/搜尋
舒特膚,1800802,Cetaphil,claude-抽查/搜尋
貝膚黛瑪,1800644,Bioderma,claude-抽查/搜尋
CeraVe,1800801,CeraVe,claude-抽查/搜尋
雅漾,4508220,AVENE,claude-抽查/搜尋
艾芙美,1119925,A-DERMA 艾芙美,claude-抽查/搜尋
GB 綠鐘,1124530,GREEN BELL,短縮寫衝突查證-20260921
綠鐘,1124530,GREEN BELL,短縮寫衝突查證-20260921
HH 草本新淨界,1111148,Herb & Health,短縮寫衝突查證-20260921
草本新淨界,1111148,Herb & Health,短縮寫衝突查證-20260921
JS 婕洛妮絲,3472328,jealousness,短縮寫衝突查證-20260921
婕洛妮絲,3472328,jealousness,短縮寫衝突查證-20260921
GP 超霸,1146524,GP Batteries,短縮寫衝突查證-20260921
超霸,1146524,GP Batteries,短縮寫衝突查證-20260921
KUM 熊野,1136616,Kumano 熊野油脂,短縮寫衝突查證-20260921
熊野油脂,1136616,Kumano 熊野油脂,短縮寫衝突查證-20260921
