cluster,level1_category,level2_category,level3_category,顏色,L1,L2,L3,品牌,品號,商品名稱
FMCG,Beauty,Beauty Tools,Brush,藍,綠色生活,美妝保養｜純淨成分,香氛/SPA,Bonnie House 植享家,10542865,【Bonnie House 植享家】雙有機精油5ml（兩入組）+馨馨香息賞香儀
FMCG,Beauty,Beauty Tools,Brush,藍,綠色生活,美妝保養｜純淨成分,推薦品牌,THE BODY SHOP 美體小舖,10725988,【THE BODY SHOP 美體小舖】五小福果香護手精選原裝禮盒(生日禮物/情人節禮物)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,染髮造型,本月主打,JOURDENESS 佐登妮絲,10342017,【佐登妮絲】SUPIDO速捷補色梳-巧克深棕(日本原裝進口)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,洗髮精/潤護髮,本月主打活動,黑淬絲,12629782,【黑淬絲】植萃洗護梳旅行3件組（50ml2瓶＋隨身氣墊按摩梳）
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,身體清潔,泡澡,Sheng Wen 梁時,12784725,【Sheng Wen 梁時】開運平安艾草包8入(艾草淨身 除穢平安梳洗包 驅蟲防蚊 艾草包)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,洗髮精/潤護髮,本月主打活動,MUK 潮嘜,12832928,【MUK 潮嘜】柔絲洗髮乳/護髮素 1000ml(柔順最好梳理之洗髮精/潤絲)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,染髮造型,本月主打,莉婕,12933109,【莉婕】頂級一按即梳染髮霜(5色可選)
FMCG,Beauty,Beauty Tools,Comb,藍,文具樂器,文具用品,辦公用品,,13117540,【瓶罐收納】桌面梳妝鏡收納盒(抽屜盒 化妝品 收納櫃 化妝鏡 梳妝台 櫃子 置物櫃 口紅 刷具架)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,染髮造型,本月主打,莉婕,13228731,【莉婕】頂級一按即梳染髮霜3入組(5色可選)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,洗髮精/潤護髮,本月主打活動,FUSARI 馥絲麗,13531565,【FUSARI 馥絲麗】momo獨家組合(馥絲麗養髮精華+補充包*2+按摩梳)
FMCG,Beauty,Beauty Tools,Comb,黃,個人清潔,沙龍髮品,精選沙龍品牌,La CASTA 蕾珂詩,13547351,【La CASTA 蕾珂詩】沙龍級頭皮淨化按摩梳(官方直營/放鬆頭皮．深層清潔．護理髮絲)
